date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-25,1012,46.5263,6.6569,24,2,1,0,0,1
2020-03-25,1097,46.4933,6.7357,4,0,1,0,0,0
2020-03-25,1009,46.5092,6.662,32,0,4,1,0,2
2020-03-25,1030,46.5532,6.5511,19,0,2,0,0,0
2020-03-25,6612,46.1549,8.7679,2,0,0,0,0,0
2020-03-25,1024,46.5261,6.562,13,1,1,0,0,0
2020-03-25,1066,46.546,6.6737,18,0,4,0,0,0
2020-03-25,1005,46.5199,6.6425,60,4,5,0,0,0
2020-03-25,1092,46.5201,6.6804,11,0,2,0,0,0
2020-03-25,1018,46.5387,6.6286,38,2,2,0,0,1
2020-03-25,1630,46.6203,7.0585,19,0,1,0,0,0
2020-03-25,1615,46.5218,6.8501,2,0,0,0,0,0
2020-03-25,1110,46.5107,6.5,15,1,1,0,0,0
2020-03-25,1136,46.5291,6.4426,3,0,0,0,0,0
2020-03-25,1201,46.2099,6.1442,13,1,3,0,0,0
2020-03-25,1213,46.1856,6.1091,19,2,2,0,0,0
2020-03-25,1907,46.1453,7.1808,2,0,0,0,0,0
2020-03-25,1004,46.5285,6.6187,86,1,9,2,0,1
2020-03-25,1006,46.5108,6.6371,42,1,7,0,0,1
2020-03-25,1010,46.5361,6.6589,29,0,3,0,0,0
2020-03-25,1197,46.3945,6.2499,2,1,0,0,0,0
2020-03-25,2068,47.0136,6.9717,5,0,0,0,0,0
2020-03-25,1164,46.4702,6.4212,1,0,0,0,0,0
2020-03-25,1205,46.1952,6.1436,45,1,1,0,0,0
2020-03-25,1814,46.4536,6.857,15,0,0,0,0,0
2020-03-25,1204,46.2017,6.1447,5,0,1,0,0,0
2020-03-25,1470,46.8285,6.8386,4,0,1,0,0,0
2020-03-25,1806,46.4714,6.884,4,0,2,0,0,0
2020-03-25,1234,46.1723,6.1547,7,0,0,0,0,0
2020-03-25,1053,46.591,6.6418,16,0,1,1,0,2
2020-03-25,2012,46.9778,6.8772,3,0,0,0,0,0
2020-03-25,1091,46.4955,6.7185,12,0,0,1,0,1
2020-03-25,1700,46.8062,7.1628,31,1,3,0,0,0
2020-03-25,1162,46.4813,6.4582,9,0,0,0,0,0
2020-03-25,2300,47.1103,6.8545,7,0,0,0,0,0
2020-03-25,1565,46.8826,6.9619,3,0,0,0,0,0
2020-03-25,1976,46.2439,7.2906,1,0,2,0,0,0
2020-03-25,1081,46.5842,6.7482,2,0,0,0,0,0
2020-03-25,1042,46.6201,6.5991,10,1,0,0,0,0
2020-03-25,2000,46.992,6.9264,11,0,1,0,0,0
2020-03-25,1055,46.6018,6.6807,6,0,2,0,0,1
2020-03-25,1950,46.2334,7.362,10,1,1,0,0,0
2020-03-25,1094,46.506,6.6723,8,0,1,0,0,0
2020-03-25,3422,47.0837,7.579,1,0,0,0,0,0
2020-03-25,1618,46.5288,6.9011,5,0,0,0,0,1
2020-03-25,2035,46.9856,6.8769,1,0,0,0,0,0
2020-03-25,1417,46.7289,6.6406,4,0,0,0,0,0
2020-03-25,1037,46.6001,6.6119,3,0,0,0,0,0
2020-03-25,1052,46.5568,6.6361,25,1,4,1,0,0
2020-03-25,1663,46.578,7.0696,4,0,0,0,0,0
2020-03-25,1090,46.5167,6.7027,7,0,0,0,0,1
2020-03-25,1054,46.5912,6.6266,6,0,1,0,0,0
2020-03-25,1023,46.5562,6.5788,11,0,0,0,0,0
2020-03-25,2013,46.9663,6.862,3,0,0,0,0,0
2020-03-25,1000,46.5535,6.687,6,0,1,0,0,0
2020-03-25,1003,46.52,6.63,25,1,1,0,0,0
2020-03-25,1874,46.1783,6.8703,3,0,0,0,0,0
